Date,vix,vxo,vxn,vxd
20APR1992,15.93,15.93,,
21APR1992,16.53,15.43,,
22APR1992,15.96,16.17,,
23APR1992,15.83,15.57,,
24APR1992,15.71,15.69,,
27APR1992,16.49,16.36,,
28APR1992,16.24,16.01,,
29APR1992,15.95,15.17,,
30APR1992,15.53,15.03,,
01MAY1992,16.61,15.87,,
04MAY1992,16.92,15.41,,
05MAY1992,16.66,15.34,,
06MAY1992,16.81,15.89,,
07MAY1992,16.54,15.48,,
08MAY1992,15.65,14.78,,
11MAY1992,15.17,14.75,,
12MAY1992,15.68,15.35,,
13MAY1992,15.19,15.11,,
14MAY1992,15.49,15.93,,
15MAY1992,14.82,14.77,,
18MAY1992,14.62,14.13,,
19MAY1992,13.57,13.24,,
20MAY1992,13.62,13.70,,
21MAY1992,13.92,13.89,,
22MAY1992,13.73,13.61,,
26MAY1992,14.92,14.74,,
27MAY1992,13.99,14.42,,
28MAY1992,13.77,13.91,,
29MAY1992,13.86,14.24,,
01JUN1992,14.43,13.66,,
02JUN1992,14.57,14.11,,
03JUN1992,14.35,13.76,,
04JUN1992,13.66,14.35,,
05JUN1992,14.65,13.74,,
08JUN1992,15.19,14.39,,
09JUN1992,15.97,15.15,,
10JUN1992,16.62,16.03,,
11JUN1992,16.29,15.03,,
12JUN1992,14.95,13.72,,
15JUN1992,14.76,13.76,,
16JUN1992,15.22,14.13,,
17JUN1992,18.08,16.99,,
18JUN1992,18.20,17.43,,
19JUN1992,16.31,15.08,,
22JUN1992,16.66,15.27,,
23JUN1992,14.53,15.01,,
24JUN1992,14.40,15.43,,
25JUN1992,14.40,15.44,,
26JUN1992,14.67,15.45,,
29JUN1992,13.21,13.15,,
30JUN1992,13.35,13.49,,
01JUL1992,13.34,13.12,,
02JUL1992,13.88,13.68,,
06JUL1992,14.87,13.75,,
07JUL1992,15.83,15.47,,
08JUL1992,15.53,14.54,,
09JUL1992,14.60,13.99,,
10JUL1992,13.70,13.73,,
13JUL1992,14.01,13.45,,
14JUL1992,13.50,12.89,,
15JUL1992,12.52,12.50,,
16JUL1992,12.27,12.07,,
17JUL1992,12.60,12.61,,
20JUL1992,12.66,12.50,,
21JUL1992,12.60,12.45,,
22JUL1992,13.57,13.22,,
23JUL1992,13.33,13.38,,
24JUL1992,13.37,13.27,,
27JUL1992,13.90,13.01,,
28JUL1992,13.05,12.88,,
29JUL1992,13.44,13.44,,
30JUL1992,13.50,13.37,,
31JUL1992,13.17,13.36,,
03AUG1992,13.83,13.09,,
04AUG1992,13.58,13.47,,
05AUG1992,13.82,13.61,,
06AUG1992,14.23,13.98,,
07AUG1992,13.94,14.35,,
10AUG1992,14.51,14.40,,
11AUG1992,15.09,14.40,,
12AUG1992,14.88,14.50,,
13AUG1992,15.34,14.99,,
14AUG1992,14.66,14.19,,
17AUG1992,14.61,14.09,,
18AUG1992,13.84,14.16,,
19AUG1992,14.35,14.81,,
20AUG1992,14.48,14.86,,
21AUG1992,15.01,14.77,,
24AUG1992,16.19,16.54,,
25AUG1992,15.62,15.94,,
26AUG1992,14.50,14.88,,
27AUG1992,13.66,14.32,,
28AUG1992,13.14,13.68,,
31AUG1992,13.58,13.84,,
01SEP1992,13.40,13.68,,
02SEP1992,12.73,13.18,,
03SEP1992,12.88,13.15,,
04SEP1992,12.98,13.68,,
08SEP1992,13.65,14.25,,
09SEP1992,13.36,14.07,,
10SEP1992,12.92,13.42,,
11SEP1992,12.47,13.24,,
14SEP1992,13.00,13.68,,
15SEP1992,13.63,14.15,,
16SEP1992,14.72,15.69,,
17SEP1992,14.31,15.07,,
18SEP1992,13.74,14.52,,
21SEP1992,13.45,13.63,,
22SEP1992,13.88,14.16,,
23SEP1992,13.83,14.39,,
24SEP1992,13.44,14.09,,
25SEP1992,14.80,15.75,,
28SEP1992,15.19,15.21,,
29SEP1992,14.97,15.25,,
30SEP1992,14.28,15.17,,
01OCT1992,16.31,17.14,,
02OCT1992,17.79,18.54,,
05OCT1992,20.01,19.22,,
06OCT1992,19.95,19.73,,
07OCT1992,21.02,21.12,,
08OCT1992,19.26,18.49,,
09OCT1992,20.51,20.27,,
12OCT1992,19.49,18.73,,
13OCT1992,17.90,17.11,,
14OCT1992,18.42,17.67,,
15OCT1992,17.11,17.14,,
16OCT1992,17.01,16.34,,
19OCT1992,17.31,16.53,,
20OCT1992,16.87,16.64,,
21OCT1992,16.62,16.64,,
22OCT1992,15.84,16.78,,
23OCT1992,16.46,16.84,,
26OCT1992,16.32,15.58,,
27OCT1992,16.24,15.82,,
28OCT1992,15.95,15.73,,
29OCT1992,15.47,16.04,,
30OCT1992,16.15,16.43,,
02NOV1992,16.67,16.28,,
03NOV1992,17.33,17.46,,
04NOV1992,16.28,16.43,,
05NOV1992,15.38,16.13,,
06NOV1992,14.69,14.83,,
09NOV1992,14.23,14.34,,
10NOV1992,14.37,14.62,,
11NOV1992,13.99,14.12,,
12NOV1992,14.37,14.49,,
13NOV1992,14.61,14.17,,
16NOV1992,14.86,14.71,,
17NOV1992,15.01,15.07,,
18NOV1992,14.55,14.43,,
19NOV1992,14.33,14.44,,
20NOV1992,13.67,13.52,,
23NOV1992,13.40,13.50,,
24NOV1992,12.66,13.28,,
25NOV1992,12.50,13.10,,
27NOV1992,12.58,13.45,,
30NOV1992,13.01,13.51,,
01DEC1992,12.80,13.43,,
02DEC1992,12.56,12.87,,
03DEC1992,12.03,13.17,,
04DEC1992,11.81,12.53,,
07DEC1992,12.00,12.34,,
08DEC1992,11.73,12.35,,
09DEC1992,12.58,12.73,,
10DEC1992,12.75,12.99,,
11DEC1992,12.34,13.01,,
14DEC1992,12.66,13.51,,
15DEC1992,12.41,13.24,,
16DEC1992,12.58,13.75,,
17DEC1992,12.14,12.77,,
18DEC1992,11.66,12.67,,
21DEC1992,11.65,12.21,,
22DEC1992,11.75,12.17,,
23DEC1992,11.51,12.27,,
24DEC1992,11.57,11.98,,
28DEC1992,12.22,12.41,,
29DEC1992,12.29,12.40,,
30DEC1992,12.60,12.84,,
31DEC1992,12.57,13.55,,
04JAN1993,13.36,13.98,,
05JAN1993,13.35,13.32,,
06JAN1993,13.37,13.40,,
07JAN1993,14.72,14.84,,
08JAN1993,13.77,14.80,,
11JAN1993,12.86,13.28,,
12JAN1993,12.78,12.65,,
13JAN1993,12.42,12.55,,
14JAN1993,11.99,12.31,,
15JAN1993,11.57,11.97,,
18JAN1993,11.49,11.36,,
19JAN1993,12.06,12.10,,
20JAN1993,12.15,12.50,,
21JAN1993,11.69,11.97,,
22JAN1993,11.30,11.29,,
25JAN1993,11.38,11.58,,
26JAN1993,11.45,11.27,,
27JAN1993,12.01,12.12,,
28JAN1993,12.04,12.10,,
29JAN1993,12.42,12.29,,
01FEB1993,12.33,11.72,,
02FEB1993,12.25,11.64,,
03FEB1993,12.12,12.36,,
04FEB1993,12.29,12.80,,
05FEB1993,12.90,13.09,,
08FEB1993,13.22,12.83,,
09FEB1993,13.48,13.40,,
10FEB1993,13.43,12.90,,
11FEB1993,12.69,12.81,,
12FEB1993,12.38,12.71,,
16FEB1993,15.76,15.90,,
17FEB1993,15.90,15.58,,
18FEB1993,15.56,16.90,,
19FEB1993,15.02,14.20,,
22FEB1993,14.70,14.28,,
23FEB1993,15.04,14.76,,
24FEB1993,14.72,14.48,,
25FEB1993,13.76,13.76,,
26FEB1993,13.16,12.75,,
01MAR1993,13.60,12.93,,
02MAR1993,12.49,12.36,,
03MAR1993,13.13,12.50,,
04MAR1993,13.44,13.34,,
05MAR1993,14.08,13.17,,
08MAR1993,16.22,14.85,,
09MAR1993,14.17,13.87,,
10MAR1993,13.91,12.98,,
11MAR1993,14.26,14.12,,
12MAR1993,15.66,14.68,,
15MAR1993,14.74,14.87,,
16MAR1993,14.51,14.71,,
17MAR1993,14.53,15.37,,
18MAR1993,14.17,14.59,,
19MAR1993,13.23,13.93,,
22MAR1993,13.66,13.75,,
23MAR1993,13.02,13.52,,
24MAR1993,12.44,13.25,,
25MAR1993,12.08,12.87,,
26MAR1993,12.21,13.36,,
29MAR1993,12.63,13.22,,
30MAR1993,12.23,13.13,,
31MAR1993,12.53,13.57,,
01APR1993,13.02,14.40,,
02APR1993,14.50,15.51,,
05APR1993,14.12,14.49,,
06APR1993,14.24,14.72,,
07APR1993,13.64,13.89,,
08APR1993,12.83,13.01,,
12APR1993,11.93,12.67,,
13APR1993,11.70,12.26,,
14APR1993,11.76,12.31,,
15APR1993,10.96,12.23,,
16APR1993,11.29,11.97,,
19APR1993,12.06,12.30,,
20APR1993,11.94,12.61,,
21APR1993,12.11,12.48,,
22APR1993,12.68,14.00,,
23APR1993,13.36,14.30,,
26APR1993,15.25,15.74,,
27APR1993,13.93,14.02,,
28APR1993,13.12,13.41,,
29APR1993,12.80,12.85,,
30APR1993,12.42,13.42,,
03MAY1993,12.90,12.62,,
04MAY1993,12.14,12.60,,
05MAY1993,12.38,12.71,,
06MAY1993,13.22,13.35,,
07MAY1993,13.01,13.49,,
10MAY1993,13.72,13.40,,
11MAY1993,13.35,13.33,,
12MAY1993,13.56,13.41,,
13MAY1993,14.76,14.44,,
14MAY1993,14.39,14.67,,
17MAY1993,14.13,13.97,,
18MAY1993,14.19,13.76,,
19MAY1993,14.29,14.15,,
20MAY1993,13.98,13.52,,
21MAY1993,14.51,14.38,,
24MAY1993,14.10,13.60,,
25MAY1993,14.04,13.56,,
26MAY1993,12.88,12.83,,
27MAY1993,13.10,13.05,,
28MAY1993,13.47,12.87,,
01JUN1993,13.67,12.95,,
02JUN1993,13.48,12.94,,
03JUN1993,13.54,13.38,,
04JUN1993,12.86,13.46,,
07JUN1993,14.07,13.77,,
08JUN1993,14.74,14.47,,
09JUN1993,13.96,14.16,,
10JUN1993,13.31,13.97,,
11JUN1993,12.71,13.07,,
14JUN1993,12.33,13.36,,
15JUN1993,11.99,13.07,,
16JUN1993,11.87,12.63,,
17JUN1993,11.66,12.21,,
18JUN1993,12.24,13.31,,
21JUN1993,12.25,12.32,,
22JUN1993,11.65,12.66,,
23JUN1993,12.04,13.23,,
24JUN1993,12.25,12.74,,
25JUN1993,11.25,12.38,,
28JUN1993,11.11,11.55,,
29JUN1993,11.29,11.63,,
30JUN1993,11.26,12.15,,
01JUL1993,11.51,12.55,,
02JUL1993,11.33,12.26,,
06JUL1993,13.87,,,
07JUL1993,13.05,13.67,,
08JUL1993,12.24,12.72,,
09JUL1993,10.80,11.88,,
12JUL1993,10.85,11.66,,
13JUL1993,11.02,11.58,,
14JUL1993,10.78,11.59,,
15JUL1993,10.60,11.57,,
16JUL1993,10.96,11.59,,
19JUL1993,11.46,11.38,,
20JUL1993,11.05,11.07,,
21JUL1993,11.97,11.73,,
22JUL1993,11.69,12.30,,
23JUL1993,11.32,11.84,,
26JUL1993,11.32,11.37,,
27JUL1993,11.34,11.39,,
28JUL1993,11.37,11.59,,
29JUL1993,11.25,11.64,,
30JUL1993,11.73,12.01,,
02AUG1993,11.47,11.41,,
03AUG1993,11.49,11.75,,
04AUG1993,11.71,11.86,,
05AUG1993,12.03,12.45,,
06AUG1993,12.33,12.65,,
09AUG1993,12.39,11.97,,
10AUG1993,12.31,12.46,,
11AUG1993,12.07,12.20,,
12AUG1993,12.38,12.27,,
13AUG1993,12.19,11.92,,
16AUG1993,12.01,12.03,,
17AUG1993,11.59,11.70,,
18AUG1993,11.52,11.96,,
19AUG1993,11.63,11.79,,
20AUG1993,11.62,11.60,,
23AUG1993,12.15,11.75,,
24AUG1993,11.80,11.32,,
25AUG1993,12.10,12.18,,
26AUG1993,12.14,12.29,,
27AUG1993,11.91,11.96,,
30AUG1993,11.74,11.83,,
31AUG1993,11.85,11.62,,
01SEP1993,11.48,,,
02SEP1993,11.87,11.72,,
03SEP1993,11.16,11.60,,
07SEP1993,12.90,12.78,,
08SEP1993,13.24,12.90,,
09SEP1993,12.67,12.49,,
10SEP1993,11.70,11.76,,
13SEP1993,12.16,12.03,,
14SEP1993,13.15,12.20,,
15SEP1993,12.70,12.34,,
16SEP1993,13.36,12.57,,
17SEP1993,13.39,13.17,,
20SEP1993,14.60,14.29,,
21SEP1993,17.30,16.10,,
22SEP1993,13.75,13.50,,
23SEP1993,13.36,12.76,,
24SEP1993,12.47,12.68,,
27SEP1993,12.49,11.43,,
28SEP1993,12.19,11.69,,
29SEP1993,12.63,12.26,,
30SEP1993,12.99,12.71,,
01OCT1993,11.83,11.99,,
04OCT1993,12.85,12.16,,
05OCT1993,12.97,11.79,,
06OCT1993,12.68,12.28,,
07OCT1993,13.14,12.78,,
08OCT1993,12.04,11.39,,
11OCT1993,12.26,10.99,,
12OCT1993,12.41,11.27,,
13OCT1993,11.38,11.12,,
14OCT1993,11.00,10.50,,
15OCT1993,10.87,10.70,,
18OCT1993,11.33,10.80,,
19OCT1993,11.61,11.23,,
20OCT1993,11.32,10.75,,
21OCT1993,11.20,11.12,,
22OCT1993,11.48,11.01,,
25OCT1993,11.83,11.16,,
26OCT1993,11.83,11.25,,
27OCT1993,12.01,11.53,,
28OCT1993,11.88,11.55,,
29OCT1993,11.46,11.51,,
01NOV1993,11.78,11.52,,
02NOV1993,11.74,11.44,,
03NOV1993,13.26,12.62,,
04NOV1993,14.68,14.90,,
05NOV1993,14.97,14.75,,
08NOV1993,14.31,13.64,,
09NOV1993,13.94,14.01,,
10NOV1993,13.72,13.16,,
11NOV1993,13.88,13.28,,
12NOV1993,13.33,12.80,,
15NOV1993,14.46,14.16,,
16NOV1993,15.11,14.52,,
17NOV1993,15.57,15.18,,
18NOV1993,14.65,13.14,,
19NOV1993,15.03,13.90,,
22NOV1993,15.90,14.48,,
23NOV1993,14.27,12.97,,
24NOV1993,13.51,12.03,,
26NOV1993,13.77,12.50,,
29NOV1993,14.12,12.92,,
30NOV1993,13.76,12.87,,
01DEC1993,13.83,13.09,,
02DEC1993,13.51,12.94,,
03DEC1993,12.69,12.20,,
06DEC1993,12.84,11.23,,
07DEC1993,12.41,11.53,,
08DEC1993,12.46,11.65,,
09DEC1993,12.43,11.97,,
10DEC1993,12.60,11.55,,
13DEC1993,10.98,10.67,,
14DEC1993,11.13,11.14,,
15DEC1993,11.03,11.03,,
16DEC1993,10.90,10.43,,
17DEC1993,11.08,10.20,,
20DEC1993,10.75,9.95,,
21DEC1993,10.08,9.93,,
22DEC1993,9.31,9.19,,
23DEC1993,9.48,9.04,,
27DEC1993,9.70,9.21,,
28DEC1993,9.82,9.72,,
29DEC1993,10.46,10.16,,
30DEC1993,10.69,10.73,,
31DEC1993,11.66,11.46,,
03JAN1994,12.57,11.56,,
04JAN1994,11.91,10.69,,
05JAN1994,10.94,10.55,,
06JAN1994,11.27,10.55,,
07JAN1994,10.96,10.25,,
10JAN1994,10.74,10.63,,
11JAN1994,11.29,10.51,,
12JAN1994,11.65,10.59,,
13JAN1994,12.08,10.77,,
14JAN1994,11.15,10.94,,
17JAN1994,11.88,11.11,,
18JAN1994,11.63,10.84,,
19JAN1994,11.76,11.04,,
20JAN1994,11.16,10.37,,
21JAN1994,11.09,10.43,,
24JAN1994,11.60,11.20,,
25JAN1994,11.38,10.98,,
26JAN1994,11.17,10.55,,
27JAN1994,10.30,9.74,,
28JAN1994,9.94,9.59,,
31JAN1994,10.63,9.82,,
01FEB1994,10.65,10.10,,
02FEB1994,10.61,9.64,,
03FEB1994,10.75,10.04,,
04FEB1994,15.25,14.51,,
07FEB1994,13.96,12.48,,
08FEB1994,13.66,12.60,,
09FEB1994,13.30,12.06,,
10FEB1994,14.24,14.32,,
11FEB1994,14.46,13.21,,
14FEB1994,14.28,14.00,,
15FEB1994,13.40,12.83,,
16FEB1994,13.13,12.83,,
17FEB1994,13.79,13.41,,
18FEB1994,14.70,14.22,,
22FEB1994,13.52,12.85,,
23FEB1994,13.91,13.01,,
24FEB1994,15.96,14.91,,
25FEB1994,14.80,14.05,,
28FEB1994,14.87,13.75,,
01MAR1994,15.83,14.83,,
02MAR1994,16.08,14.36,,
03MAR1994,16.36,15.75,,
04MAR1994,16.00,14.58,,
07MAR1994,14.26,13.76,,
08MAR1994,16.23,14.34,,
09MAR1994,14.41,13.55,,
10MAR1994,16.55,15.48,,
11MAR1994,14.87,14.18,,
14MAR1994,16.61,14.51,,
15MAR1994,14.78,13.93,,
16MAR1994,14.51,12.38,,
17MAR1994,12.76,12.09,,
18MAR1994,13.32,12.70,,
21MAR1994,14.34,13.05,,
22MAR1994,13.39,11.95,,
23MAR1994,12.31,12.11,,
24MAR1994,13.43,13.13,,
25MAR1994,13.67,13.65,,
28MAR1994,14.90,13.52,,
29MAR1994,16.49,16.50,,
30MAR1994,18.59,18.04,,
31MAR1994,20.45,19.15,,
04APR1994,23.87,22.50,,
05APR1994,18.13,16.29,,
06APR1994,17.38,16.11,,
07APR1994,16.98,15.60,,
08APR1994,16.92,16.28,,
11APR1994,16.61,15.61,,
12APR1994,16.42,15.67,,
13APR1994,17.02,15.72,,
14APR1994,16.27,14.95,,
15APR1994,15.98,14.86,,
18APR1994,17.22,15.63,,
19APR1994,16.93,15.30,,
20APR1994,17.01,15.96,,
21APR1994,14.93,13.90,,
22APR1994,14.94,14.55,,
25APR1994,14.26,12.78,,
26APR1994,13.80,12.68,,
28APR1994,14.51,13.65,,
29APR1994,13.77,13.32,,
02MAY1994,14.11,12.85,,
03MAY1994,13.81,13.16,,
04MAY1994,14.29,13.62,,
05MAY1994,14.56,14.42,,
06MAY1994,15.08,15.14,,
09MAY1994,16.16,15.88,,
10MAY1994,15.19,14.17,,
11MAY1994,15.55,15.59,,
12MAY1994,15.46,15.12,,
13MAY1994,14.54,14.57,,
16MAY1994,14.67,14.40,,
17MAY1994,14.08,13.41,,
18MAY1994,12.55,11.98,,
19MAY1994,12.33,12.18,,
20MAY1994,12.79,12.25,,
23MAY1994,13.49,12.66,,
24MAY1994,12.73,12.04,,
25MAY1994,12.43,11.91,,
26MAY1994,12.50,11.95,,
27MAY1994,12.49,11.79,,
31MAY1994,13.03,12.10,,
01JUN1994,12.72,11.89,,
02JUN1994,12.73,12.22,,
03JUN1994,12.19,11.52,,
06JUN1994,13.03,12.29,,
07JUN1994,13.05,12.22,,
08JUN1994,13.32,12.64,,
09JUN1994,13.21,12.78,,
10JUN1994,12.69,11.94,,
13JUN1994,11.92,11.80,,
14JUN1994,11.60,11.08,,
15JUN1994,11.52,11.53,,
16JUN1994,11.22,10.80,,
17JUN1994,12.31,12.26,,
20JUN1994,13.96,13.08,,
21JUN1994,14.70,14.41,,
22JUN1994,14.02,13.36,,
23JUN1994,14.12,14.24,,
24JUN1994,16.72,17.18,,
27JUN1994,15.53,13.67,,
28JUN1994,15.04,13.99,,
29JUN1994,14.42,14.09,,
30JUN1994,14.97,15.82,,
01JUL1994,14.36,14.69,,
05JUL1994,14.92,14.94,,
06JUL1994,14.70,14.88,,
07JUL1994,14.01,13.79,,
08JUL1994,13.26,13.65,,
11JUL1994,13.83,13.19,,
12JUL1994,13.40,12.82,,
13JUL1994,12.42,12.22,,
14JUL1994,11.64,10.92,,
15JUL1994,11.28,11.08,,
18JUL1994,11.44,10.55,,
19JUL1994,11.65,11.32,,
20JUL1994,11.70,11.35,,
21JUL1994,11.65,10.78,,
22JUL1994,11.22,10.81,,
25JUL1994,11.46,10.95,,
26JUL1994,11.66,11.24,,
27JUL1994,11.93,11.89,,
28JUL1994,12.03,11.56,,
29JUL1994,11.13,10.64,,
01AUG1994,11.17,10.27,,
02AUG1994,11.27,10.89,,
03AUG1994,11.35,11.27,,
04AUG1994,12.18,11.94,,
05AUG1994,12.34,12.17,,
08AUG1994,12.41,11.55,,
09AUG1994,12.54,11.52,,
10AUG1994,11.91,11.11,,
11AUG1994,12.13,11.67,,
12AUG1994,11.09,10.64,,
15AUG1994,12.06,11.23,,
16AUG1994,11.39,10.73,,
17AUG1994,11.54,10.77,,
18AUG1994,12.07,11.63,,
19AUG1994,12.83,11.44,,
22AUG1994,12.62,11.81,,
23AUG1994,11.75,11.22,,
24AUG1994,11.57,10.94,,
25AUG1994,12.02,11.61,,
26AUG1994,12.19,12.49,,
29AUG1994,11.82,11.51,,
30AUG1994,11.23,11.31,,
31AUG1994,11.97,11.51,,
01SEP1994,11.86,11.74,,
02SEP1994,11.40,11.08,,
06SEP1994,11.69,11.34,,
07SEP1994,11.81,11.23,,
08SEP1994,11.86,11.21,,
09SEP1994,13.12,12.03,,
12SEP1994,14.01,12.64,,
13SEP1994,13.77,12.26,,
14SEP1994,13.09,11.58,,
15SEP1994,11.88,10.76,,
16SEP1994,12.80,12.66,,
19SEP1994,13.06,12.66,,
20SEP1994,14.45,13.90,,
21SEP1994,14.49,13.46,,
22SEP1994,13.89,13.99,,
23SEP1994,14.53,14.49,,
26SEP1994,14.56,14.04,,
27SEP1994,14.13,13.31,,
28SEP1994,13.25,13.07,,
29SEP1994,13.97,13.87,,
30SEP1994,14.28,14.29,,
03OCT1994,15.44,14.58,,
04OCT1994,16.66,17.09,,
05OCT1994,15.92,15.32,,
06OCT1994,16.24,16.50,,
07OCT1994,14.92,15.14,,
10OCT1994,14.72,14.17,,
11OCT1994,13.55,13.61,,
12OCT1994,14.51,14.21,,
13OCT1994,14.90,14.84,,
14OCT1994,13.32,13.80,,
17OCT1994,14.76,14.61,,
18OCT1994,14.59,14.58,,
19OCT1994,15.13,14.88,,
20OCT1994,15.99,15.79,,
21OCT1994,15.91,15.73,,
24OCT1994,16.97,16.59,,
25OCT1994,16.13,15.67,,
26OCT1994,15.70,15.27,,
27OCT1994,15.67,15.44,,
28OCT1994,14.56,14.49,,
31OCT1994,14.56,13.73,,
01NOV1994,14.84,14.38,,
02NOV1994,15.34,15.04,,
03NOV1994,15.58,15.38,,
04NOV1994,16.75,16.37,,
07NOV1994,17.37,16.36,,
08NOV1994,16.30,15.88,,
09NOV1994,16.42,16.08,,
10NOV1994,16.00,16.20,,
11NOV1994,16.50,16.92,,
14NOV1994,16.68,16.24,,
15NOV1994,16.66,16.04,,
16NOV1994,15.56,15.70,,
17NOV1994,15.91,15.70,,
18NOV1994,16.00,15.72,,
21NOV1994,16.13,15.87,,
22NOV1994,17.24,18.49,,
23NOV1994,18.41,18.14,,
25NOV1994,17.44,17.58,,
28NOV1994,16.83,16.47,,
29NOV1994,16.15,16.12,,
30NOV1994,15.95,16.56,,
01DEC1994,16.69,17.07,,
02DEC1994,16.55,15.69,,
05DEC1994,16.10,14.91,,
06DEC1994,16.05,15.22,,
07DEC1994,16.28,15.93,,
08DEC1994,18.15,18.16,,
09DEC1994,16.04,16.44,,
12DEC1994,15.46,15.15,,
13DEC1994,14.48,14.57,,
14DEC1994,13.03,12.50,,
15DEC1994,12.87,12.55,,
16DEC1994,12.79,12.21,,
19DEC1994,13.02,12.15,,
20DEC1994,12.98,12.14,,
21DEC1994,12.05,11.94,,
22DEC1994,12.42,12.03,,
23DEC1994,11.82,11.44,,
27DEC1994,12.07,11.66,,
28DEC1994,12.81,12.68,,
29DEC1994,12.86,12.06,,
30DEC1994,13.20,13.44,,
03JAN1995,14.25,13.77,,
04JAN1995,13.53,12.75,,
05JAN1995,13.50,13.11,,
06JAN1995,13.13,12.38,,
09JAN1995,13.33,12.38,,
10JAN1995,12.52,12.01,,
11JAN1995,12.15,11.79,,
12JAN1995,12.83,12.25,,
13JAN1995,11.10,11.07,,
16JAN1995,11.14,10.71,,
17JAN1995,11.79,11.05,,
18JAN1995,11.57,11.08,,
19JAN1995,11.86,11.47,,
20JAN1995,12.15,11.65,,
23JAN1995,12.79,11.60,,
24JAN1995,11.94,11.45,,
25JAN1995,11.46,10.93,,
26JAN1995,11.25,10.74,,
27JAN1995,11.25,10.77,,
30JAN1995,12.26,11.58,,
31JAN1995,11.96,11.41,,
01FEB1995,11.73,11.06,,
02FEB1995,11.13,10.63,,
03FEB1995,10.98,10.96,,
06FEB1995,11.22,10.66,,
07FEB1995,11.17,10.49,,
08FEB1995,11.42,11.06,,
09FEB1995,11.63,11.50,,
10FEB1995,11.28,11.07,,
13FEB1995,11.41,11.21,,
14FEB1995,11.43,11.16,,
15FEB1995,11.52,11.48,,
16FEB1995,11.61,11.56,,
17FEB1995,11.71,11.54,,
21FEB1995,12.05,11.47,,
22FEB1995,11.39,11.23,,
23FEB1995,11.15,11.19,,
24FEB1995,10.84,11.05,,
27FEB1995,12.51,11.95,,
28FEB1995,11.75,11.48,,
01MAR1995,11.65,11.70,,
02MAR1995,12.02,11.76,,
03MAR1995,11.45,11.65,,
06MAR1995,12.17,11.61,,
07MAR1995,14.22,12.89,,
08MAR1995,13.72,12.43,,
09MAR1995,13.36,12.45,,
10MAR1995,12.38,11.54,,
13MAR1995,12.15,11.62,,
14MAR1995,12.10,11.75,,
15MAR1995,12.42,11.89,,
16MAR1995,11.95,11.87,,
17MAR1995,11.80,11.73,,
20MAR1995,11.34,10.88,,
21MAR1995,11.53,11.83,,
22MAR1995,11.29,11.61,,
23MAR1995,11.43,11.72,,
24MAR1995,11.19,11.86,,
27MAR1995,11.83,11.92,,
28MAR1995,11.33,11.95,,
29MAR1995,12.51,12.48,,
30MAR1995,12.62,12.62,,
31MAR1995,13.37,13.58,,
03APR1995,13.50,12.94,,
04APR1995,12.62,12.92,,
05APR1995,12.96,13.34,,
